year,season,month,site,block,treatment_year,plot,day1,day2,day3
2016,summer,July,Arid,2,0,Partial,1,1,1
2016,summer,July,Arid,2,0,Partial,1,1,1
2016,summer,July,Arid,2,0,Partial,1,1,0
2016,summer,July,Arid,2,0,Partial,1,1,0
2016,summer,July,Arid,2,0,Partial,1,0,1
2016,summer,July,Arid,2,0,Partial,1,0,1
2016,summer,July,Arid,2,0,Partial,0,1,1
2016,summer,July,Arid,2,0,Partial,0,1,1
2016,summer,July,Arid,2,0,Partial,0,1,1
2016,summer,July,Arid,2,0,Partial,0,1,1
2016,summer,July,Arid,2,0,Partial,0,1,1
2016,summer,July,Arid,2,0,Partial,0,1,1
2016,summer,July,Arid,2,0,Partial,0,1,1
2016,summer,July,Arid,2,0,Partial,0,1,1
2016,summer,July,Arid,2,0,Partial,0,1,1
2016,summer,July,Arid,2,0,Partial,0,1,1
2016,summer,July,Arid,2,0,Partial,0,1,1
2016,summer,July,Arid,2,0,Partial,0,1,0
2016,summer,July,Arid,2,0,Partial,0,1,0
2016,summer,July,Arid,2,0,Partial,0,1,0
2016,summer,July,Arid,2,0,Partial,0,1,0
2016,summer,July,Arid,2,0,Partial,0,1,0
2016,summer,July,Arid,3,0,Open,1,1,1
2016,summer,July,Arid,3,0,Open,1,1,1
2016,summer,July,Arid,3,0,Open,1,1,1
2016,summer,July,Arid,3,0,Open,1,1,1
2016,summer,July,Arid,3,0,Open,1,1,1
2016,summer,July,Arid,3,0,Open,1,1,0
2016,summer,July,Arid,3,0,Open,1,1,0
2016,summer,July,Arid,3,0,Open,1,1,0
2016,summer,July,Arid,3,0,Open,1,1,0
2016,summer,July,Arid,3,0,Open,1,0,1
2016,summer,July,Arid,3,0,Open,1,0,1
2016,summer,July,Arid,3,0,Open,1,0,1
2016,summer,July,Arid,3,0,Open,1,0,1
2016,summer,July,Arid,3,0,Open,1,0,1
2016,summer,July,Arid,3,0,Open,0,1,1
2016,summer,July,Arid,3,0,Open,0,1,1
2016,summer,July,Arid,3,0,Open,0,0,1
2016,summer,July,Arid,3,0,Total,1,1,1
2016,summer,July,Arid,3,0,Total,1,1,1
2016,summer,July,Arid,3,0,Total,1,1,1
2016,summer,July,Arid,3,0,Total,1,1,0
2016,summer,July,Arid,3,0,Total,1,1,0
2016,summer,July,Arid,3,0,Total,1,1,0
2016,summer,July,Arid,3,0,Total,1,0,1
2016,summer,July,Arid,3,0,Total,1,0,1
2016,summer,July,Arid,3,0,Total,1,0,1
2016,summer,July,Arid,3,0,Total,1,0,1
2016,summer,July,Arid,3,0,Total,1,0,1
2016,summer,July,Arid,3,0,Total,1,0,1
2016,summer,July,Arid,3,0,Total,1,0,1
2016,summer,July,Arid,3,0,Total,1,0,1
2016,summer,July,Arid,3,0,Total,1,0,0
2016,summer,July,Arid,3,0,Total,0,1,1
2016,summer,July,Arid,3,0,Total,0,1,1
2016,summer,July,Arid,3,0,Total,0,1,1
2016,summer,July,Arid,3,0,Total,0,1,0
2016,summer,July,Arid,3,0,Total,0,0,1
2016,summer,July,Arid,3,0,Total,0,0,1
2016,summer,July,Arid,3,0,Total,0,0,1
2016,summer,July,Arid,3,0,Total,0,0,1
2016,summer,July,Arid,3,0,Total,0,0,1
2016,summer,July,Arid,3,0,Total,0,0,1
2016,summer,July,Arid,3,0,Total,0,0,1
2016,summer,July,Arid,3,0,Partial,1,1,1
2016,summer,July,Arid,3,0,Partial,1,1,1
2016,summer,July,Arid,3,0,Partial,1,0,1
2016,summer,July,Arid,3,0,Partial,1,0,1
2016,summer,July,Arid,3,0,Partial,1,0,0
2016,summer,July,Arid,3,0,Partial,1,0,0
2016,summer,July,Arid,3,0,Partial,0,1,1
2016,summer,July,Arid,3,0,Partial,0,0,1
2016,summer,July,Arid,3,0,Partial,0,0,1
2016,summer,July,Arid,3,0,Partial,0,0,1
2016,summer,July,Arid,3,0,Partial,0,0,1
2016,summer,July,Arid,3,0,Partial,0,0,1
2016,early summer,July,Intermediate,1,0,Open,1,1,1
2016,early summer,July,Intermediate,1,0,Open,1,1,1
2016,early summer,July,Intermediate,1,0,Open,1,1,1
2016,early summer,July,Intermediate,1,0,Open,1,1,1
2016,early summer,July,Intermediate,1,0,Open,1,1,1
2016,early summer,July,Intermediate,1,0,Open,1,1,1
2016,early summer,July,Intermediate,1,0,Open,1,1,1
2016,early summer,July,Intermediate,1,0,Open,1,1,1
2016,early summer,July,Intermediate,1,0,Open,1,1,1
2016,early summer,July,Intermediate,1,0,Open,1,1,0
2016,early summer,July,Intermediate,1,0,Open,1,1,0
2016,early summer,July,Intermediate,1,0,Open,1,1,0
2016,early summer,July,Intermediate,1,0,Open,1,1,0
2016,early summer,July,Intermediate,1,0,Open,1,1,0
2016,early summer,July,Intermediate,1,0,Open,1,1,0
2016,early summer,July,Intermediate,1,0,Open,1,1,0
2016,early summer,July,Intermediate,1,0,Open,1,1,0
2016,early summer,July,Intermediate,1,0,Open,1,1,0
2016,early summer,July,Intermediate,1,0,Open,1,1,0
2016,early summer,July,Intermediate,1,0,Open,1,0,1
2016,early summer,July,Intermediate,1,0,Open,1,0,1
2016,early summer,July,Intermediate,1,0,Open,1,0,1
2016,early summer,July,Intermediate,1,0,Open,1,0,1
2016,early summer,July,Intermediate,1,0,Open,1,0,1
2016,early summer,July,Intermediate,1,0,Open,0,1,1
2016,early summer,July,Intermediate,1,0,Open,0,1,1
2016,early summer,July,Intermediate,1,0,Open,0,1,1
2016,early summer,July,Intermediate,1,0,Open,0,1,1
2016,early summer,July,Intermediate,1,0,Open,0,1,1
2016,early summer,July,Intermediate,1,0,Open,0,1,1
2016,early summer,July,Intermediate,1,0,Open,0,1,1
2016,early summer,July,Intermediate,1,0,Open,0,1,0
2016,early summer,July,Intermediate,1,0,Open,0,1,0
2016,early summer,July,Intermediate,1,0,Open,0,1,0
2016,early summer,July,Intermediate,1,0,Open,0,1,0
2016,early summer,July,Intermediate,1,0,Open,0,1,0
2016,early summer,July,Intermediate,1,0,Open,0,1,0
2016,early summer,July,Intermediate,1,0,Open,0,1,0
2016,early summer,July,Intermediate,1,0,Open,0,0,1
2016,early summer,July,Intermediate,1,0,Open,0,0,1
2016,early summer,July,Intermediate,1,0,Open,0,0,1
2016,early summer,July,Intermediate,1,0,Open,0,0,1
2016,early summer,July,Intermediate,1,0,Open,0,0,1
2016,early summer,July,Intermediate,1,0,Total,1,1,1
2016,early summer,July,Intermediate,1,0,Total,1,1,1
2016,early summer,July,Intermediate,1,0,Total,1,1,1
2016,early summer,July,Intermediate,1,0,Total,1,1,1
2016,early summer,July,Intermediate,1,0,Total,1,1,1
2016,early summer,July,Intermediate,1,0,Total,1,1,1
2016,early summer,July,Intermediate,1,0,Total,1,1,1
2016,early summer,July,Intermediate,1,0,Total,1,1,1
2016,early summer,July,Intermediate,1,0,Total,1,1,1
2016,early summer,July,Intermediate,1,0,Total,1,1,0
2016,early summer,July,Intermediate,1,0,Total,1,1,0
2016,early summer,July,Intermediate,1,0,Total,1,1,0
2016,early summer,July,Intermediate,1,0,Total,1,1,0
2016,early summer,July,Intermediate,1,0,Total,1,1,0
2016,early summer,July,Intermediate,1,0,Total,1,1,0
2016,early summer,July,Intermediate,1,0,Total,1,1,0
2016,early summer,July,Intermediate,1,0,Total,1,1,0
2016,early summer,July,Intermediate,1,0,Total,1,1,0
2016,early summer,July,Intermediate,1,0,Total,1,1,0
2016,early summer,July,Intermediate,1,0,Total,1,1,0
2016,early summer,July,Intermediate,1,0,Total,1,0,1
2016,early summer,July,Intermediate,1,0,Total,1,0,1
2016,early summer,July,Intermediate,1,0,Total,1,0,1
2016,early summer,July,Intermediate,1,0,Total,1,0,1
2016,early summer,July,Intermediate,1,0,Total,1,0,1
2016,early summer,July,Intermediate,1,0,Total,0,1,1
2016,early summer,July,Intermediate,1,0,Total,0,1,1
2016,early summer,July,Intermediate,1,0,Total,0,1,1
2016,early summer,July,Intermediate,1,0,Total,0,1,1
2016,early summer,July,Intermediate,1,0,Total,0,1,1
2016,early summer,July,Intermediate,1,0,Total,0,1,1
2016,early summer,July,Intermediate,1,0,Total,0,1,1
2016,early summer,July,Intermediate,1,0,Total,0,1,1
2016,early summer,July,Intermediate,1,0,Total,0,1,1
2016,early summer,July,Intermediate,1,0,Total,0,1,0
2016,early summer,July,Intermediate,1,0,Total,0,1,0
2016,early summer,July,Intermediate,1,0,Total,0,0,1
2016,early summer,July,Intermediate,1,0,Total,0,0,1
2016,early summer,July,Intermediate,1,0,Total,0,0,1
2016,early summer,July,Intermediate,1,0,Total,0,0,1
2016,early summer,July,Intermediate,1,0,Total,0,0,1
2016,early summer,July,Intermediate,1,0,Total,0,0,1
2016,early summer,July,Intermediate,1,0,Total,0,0,1
2016,early summer,July,Intermediate,1,0,Total,0,0,1
2016,early summer,July,Intermediate,1,0,Total,0,0,1
2016,early summer,July,Intermediate,1,0,Total,0,0,1
2016,early summer,July,Intermediate,1,0,Total,0,0,1
2016,early summer,July,Intermediate,1,0,Total,0,0,1
2016,early summer,July,Intermediate,1,0,Partial,1,1,1
2016,early summer,July,Intermediate,1,0,Partial,1,1,1
2016,early summer,July,Intermediate,1,0,Partial,1,1,1
2016,early summer,July,Intermediate,1,0,Partial,1,1,1
2016,early summer,July,Intermediate,1,0,Partial,1,1,1
2016,early summer,July,Intermediate,1,0,Partial,1,1,1
2016,early summer,July,Intermediate,1,0,Partial,1,1,0
2016,early summer,July,Intermediate,1,0,Partial,1,1,0
2016,early summer,July,Intermediate,1,0,Partial,1,1,0
2016,early summer,July,Intermediate,1,0,Partial,1,1,0
2016,early summer,July,Intermediate,1,0,Partial,1,1,0
2016,early summer,July,Intermediate,1,0,Partial,1,1,0
2016,early summer,July,Intermediate,1,0,Partial,1,1,0
2016,early summer,July,Intermediate,1,0,Partial,1,0,1
2016,early summer,July,Intermediate,1,0,Partial,1,0,1
2016,early summer,July,Intermediate,1,0,Partial,1,0,1
2016,early summer,July,Intermediate,1,0,Partial,1,0,1
2016,early summer,July,Intermediate,1,0,Partial,0,1,1
2016,early summer,July,Intermediate,1,0,Partial,0,1,1
2016,early summer,July,Intermediate,1,0,Partial,0,1,1
2016,early summer,July,Intermediate,1,0,Partial,0,1,1
2016,early summer,July,Intermediate,1,0,Partial,0,1,1
2016,early summer,July,Intermediate,1,0,Partial,0,1,1
2016,early summer,July,Intermediate,1,0,Partial,0,1,1
2016,early summer,July,Intermediate,1,0,Partial,0,1,1
2016,early summer,July,Intermediate,1,0,Partial,0,1,1
2016,early summer,July,Intermediate,1,0,Partial,0,1,1
2016,early summer,July,Intermediate,1,0,Partial,0,1,1
2016,early summer,July,Intermediate,1,0,Partial,0,1,1
2016,early summer,July,Intermediate,1,0,Partial,0,1,1
2016,early summer,July,Intermediate,1,0,Partial,0,1,1
2016,early summer,July,Intermediate,1,0,Partial,0,1,1
2016,early summer,July,Intermediate,1,0,Partial,0,1,0
2016,early summer,July,Intermediate,1,0,Partial,0,1,0
2016,early summer,July,Intermediate,1,0,Partial,0,1,0
2016,early summer,July,Intermediate,1,0,Partial,0,1,0
2016,early summer,July,Intermediate,1,0,Partial,0,1,0
2016,early summer,July,Intermediate,1,0,Partial,0,1,0
2016,early summer,July,Intermediate,1,0,Partial,0,1,0
2016,early summer,July,Intermediate,1,0,Partial,0,1,0
2016,early summer,July,Intermediate,1,0,Partial,0,0,1
2016,early summer,July,Intermediate,1,0,Partial,0,0,1
2016,early summer,July,Intermediate,1,0,Partial,0,0,1
2016,early summer,July,Intermediate,1,0,Partial,0,0,1
2016,early summer,July,Intermediate,1,0,Partial,0,0,1
2016,early summer,July,Intermediate,1,0,Partial,0,0,1
2016,early summer,July,Intermediate,1,0,Partial,0,0,1
2016,early summer,July,Intermediate,1,0,Partial,0,0,1
2016,early summer,July,Intermediate,1,0,Partial,0,0,1
2016,early summer,July,Intermediate,1,0,Partial,0,0,1
2016,early summer,July,Intermediate,1,0,Partial,0,0,1
2016,early summer,July,Intermediate,1,0,Partial,0,0,1
2016,early summer,July,Intermediate,1,0,Partial,0,0,1
2016,early summer,July,Intermediate,1,0,Partial,0,0,1
2016,early summer,July,Intermediate,1,0,Partial,0,0,1
2016,early summer,July,Intermediate,1,0,Partial,0,0,1
2016,early summer,July,Intermediate,1,0,Partial,0,0,1
2016,early summer,July,Intermediate,1,0,Partial,0,0,1
2016,early summer,July,Intermediate,2,0,Open,1,1,1
2016,early summer,July,Intermediate,2,0,Open,1,1,1
2016,early summer,July,Intermediate,2,0,Open,1,1,1
2016,early summer,July,Intermediate,2,0,Open,1,1,1
2016,early summer,July,Intermediate,2,0,Open,1,1,1
2016,early summer,July,Intermediate,2,0,Open,1,1,1
2016,early summer,July,Intermediate,2,0,Open,1,1,0
2016,early summer,July,Intermediate,2,0,Open,1,1,0
2016,early summer,July,Intermediate,2,0,Open,1,0,1
2016,early summer,July,Intermediate,2,0,Open,1,0,1
2016,early summer,July,Intermediate,2,0,Open,1,0,0
2016,early summer,July,Intermediate,2,0,Open,0,1,1
2016,early summer,July,Intermediate,2,0,Open,0,1,1
2016,early summer,July,Intermediate,2,0,Open,0,1,1
2016,early summer,July,Intermediate,2,0,Open,0,1,1
2016,early summer,July,Intermediate,2,0,Open,0,1,0
2016,early summer,July,Intermediate,2,0,Open,0,1,0
2016,early summer,July,Intermediate,2,0,Open,0,1,0
2016,early summer,July,Intermediate,2,0,Total,1,1,1
2016,early summer,July,Intermediate,2,0,Total,1,1,1
2016,early summer,July,Intermediate,2,0,Total,1,1,1
2016,early summer,July,Intermediate,2,0,Total,1,1,1
2016,early summer,July,Intermediate,2,0,Total,1,1,1
2016,early summer,July,Intermediate,2,0,Total,1,1,1
2016,early summer,July,Intermediate,2,0,Total,1,1,1
2016,early summer,July,Intermediate,2,0,Total,1,1,1
2016,early summer,July,Intermediate,2,0,Total,1,1,1
2016,early summer,July,Intermediate,2,0,Total,1,1,1
2016,early summer,July,Intermediate,2,0,Total,1,1,0
2016,early summer,July,Intermediate,2,0,Total,1,1,0
2016,early summer,July,Intermediate,2,0,Total,1,1,0
2016,early summer,July,Intermediate,2,0,Total,1,1,0
2016,early summer,July,Intermediate,2,0,Total,1,1,0
2016,early summer,July,Intermediate,2,0,Total,1,1,0
2016,early summer,July,Intermediate,2,0,Total,1,1,0
2016,early summer,July,Intermediate,2,0,Total,1,0,1
2016,early summer,July,Intermediate,2,0,Total,0,1,1
2016,early summer,July,Intermediate,2,0,Total,0,1,1
2016,early summer,July,Intermediate,2,0,Total,0,1,1
2016,early summer,July,Intermediate,2,0,Total,0,1,1
2016,early summer,July,Intermediate,2,0,Total,0,1,0
2016,early summer,July,Intermediate,2,0,Total,0,1,0
2016,early summer,July,Intermediate,2,0,Total,0,0,1
2016,early summer,July,Intermediate,2,0,Partial,1,1,1
2016,early summer,July,Intermediate,2,0,Partial,1,1,1
2016,early summer,July,Intermediate,2,0,Partial,1,1,1
2016,early summer,July,Intermediate,2,0,Partial,1,1,1
2016,early summer,July,Intermediate,2,0,Partial,1,1,1
2016,early summer,July,Intermediate,2,0,Partial,1,1,1
2016,early summer,July,Intermediate,2,0,Partial,1,1,0
2016,early summer,July,Intermediate,2,0,Partial,1,0,1
2016,early summer,July,Intermediate,2,0,Partial,1,0,0
2016,early summer,July,Intermediate,2,0,Partial,1,0,0
2016,early summer,July,Intermediate,2,0,Partial,0,1,1
2016,early summer,July,Intermediate,2,0,Partial,0,1,1
2016,early summer,July,Intermediate,2,0,Partial,0,1,1
2016,early summer,July,Intermediate,2,0,Partial,0,1,1
2016,early summer,July,Intermediate,2,0,Partial,0,0,1
2016,early summer,July,Intermediate,3,0,Open,1,1,1
2016,early summer,July,Intermediate,3,0,Open,1,1,1
2016,early summer,July,Intermediate,3,0,Open,1,1,1
2016,early summer,July,Intermediate,3,0,Open,1,1,1
2016,early summer,July,Intermediate,3,0,Open,1,1,1
2016,early summer,July,Intermediate,3,0,Open,1,1,1
2016,early summer,July,Intermediate,3,0,Open,1,1,1
2016,early summer,July,Intermediate,3,0,Open,1,1,1
2016,early summer,July,Intermediate,3,0,Open,1,1,1
2016,early summer,July,Intermediate,3,0,Open,1,1,1
2016,early summer,July,Intermediate,3,0,Open,1,1,1
2016,early summer,July,Intermediate,3,0,Open,1,1,1
2016,early summer,July,Intermediate,3,0,Open,1,1,1
2016,early summer,July,Intermediate,3,0,Open,1,1,1
2016,early summer,July,Intermediate,3,0,Open,1,1,1
2016,early summer,July,Intermediate,3,0,Open,1,1,1
2016,early summer,July,Intermediate,3,0,Open,1,1,1
2016,early summer,July,Intermediate,3,0,Open,1,1,1
2016,early summer,July,Intermediate,3,0,Open,1,1,1
2016,early summer,July,Intermediate,3,0,Open,1,1,1
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,1,0
2016,early summer,July,Intermediate,3,0,Open,1,0,1
2016,early summer,July,Intermediate,3,0,Open,1,0,1
2016,early summer,July,Intermediate,3,0,Open,1,0,1
2016,early summer,July,Intermediate,3,0,Open,1,0,1
2016,early summer,July,Intermediate,3,0,Open,1,0,1
2016,early summer,July,Intermediate,3,0,Open,1,0,1
2016,early summer,July,Intermediate,3,0,Open,1,0,1
2016,early summer,July,Intermediate,3,0,Open,1,0,1
2016,early summer,July,Intermediate,3,0,Open,1,0,1
2016,early summer,July,Intermediate,3,0,Open,0,1,1
2016,early summer,July,Intermediate,3,0,Open,0,1,1
2016,early summer,July,Intermediate,3,0,Open,0,1,1
2016,early summer,July,Intermediate,3,0,Open,0,1,1
2016,early summer,July,Intermediate,3,0,Open,0,1,1
2016,early summer,July,Intermediate,3,0,Open,0,1,1
2016,early summer,July,Intermediate,3,0,Open,0,1,1
2016,early summer,July,Intermediate,3,0,Open,0,1,1
2016,early summer,July,Intermediate,3,0,Open,0,1,1
2016,early summer,July,Intermediate,3,0,Open,0,1,1
2016,early summer,July,Intermediate,3,0,Open,0,1,1
2016,early summer,July,Intermediate,3,0,Open,0,1,1
2016,early summer,July,Intermediate,3,0,Open,0,1,1
2016,early summer,July,Intermediate,3,0,Open,0,1,1
2016,early summer,July,Intermediate,3,0,Open,0,1,1
2016,early summer,July,Intermediate,3,0,Open,0,1,1
2016,early summer,July,Intermediate,3,0,Open,0,1,1
2016,early summer,July,Intermediate,3,0,Open,0,1,1
2016,early summer,July,Intermediate,3,0,Open,0,1,1
2016,early summer,July,Intermediate,3,0,Open,0,1,0
2016,early summer,July,Intermediate,3,0,Open,0,1,0
2016,early summer,July,Intermediate,3,0,Open,0,1,0
2016,early summer,July,Intermediate,3,0,Open,0,1,0
2016,early summer,July,Intermediate,3,0,Open,0,1,0
2016,early summer,July,Intermediate,3,0,Open,0,0,1
2016,early summer,July,Intermediate,3,0,Open,0,0,1
2016,early summer,July,Intermediate,3,0,Open,0,0,1
2016,early summer,July,Intermediate,3,0,Open,0,0,1
2016,early summer,July,Intermediate,3,0,Open,0,0,1
2016,early summer,July,Intermediate,3,0,Open,0,0,1
2016,early summer,July,Intermediate,3,0,Open,0,0,1
2016,early summer,July,Intermediate,3,0,Open,0,0,1
2016,early summer,July,Intermediate,3,0,Open,0,0,1
2016,early summer,July,Intermediate,3,0,Open,0,0,1
2016,early summer,July,Intermediate,3,0,Open,0,0,1
2016,early summer,July,Intermediate,3,0,Open,0,0,1
2016,early summer,July,Intermediate,3,0,Open,0,0,1
2016,early summer,July,Intermediate,3,0,Open,0,0,1
2016,early summer,July,Intermediate,3,0,Open,0,0,1
2016,early summer,July,Intermediate,3,0,Open,0,0,1
2016,early summer,July,Intermediate,3,0,Total,1,1,1
2016,early summer,July,Intermediate,3,0,Total,1,1,1
2016,early summer,July,Intermediate,3,0,Total,1,1,1
2016,early summer,July,Intermediate,3,0,Total,1,1,1
2016,early summer,July,Intermediate,3,0,Total,1,1,1
2016,early summer,July,Intermediate,3,0,Total,1,1,1
2016,early summer,July,Intermediate,3,0,Total,1,1,1
2016,early summer,July,Intermediate,3,0,Total,1,1,1
2016,early summer,July,Intermediate,3,0,Total,1,1,1
2016,early summer,July,Intermediate,3,0,Total,1,1,1
2016,early summer,July,Intermediate,3,0,Total,1,1,1
2016,early summer,July,Intermediate,3,0,Total,1,1,1
2016,early summer,July,Intermediate,3,0,Total,1,1,1
2016,early summer,July,Intermediate,3,0,Total,1,1,1
2016,early summer,July,Intermediate,3,0,Total,1,1,0
2016,early summer,July,Intermediate,3,0,Total,1,1,0
2016,early summer,July,Intermediate,3,0,Total,1,1,0
2016,early summer,July,Intermediate,3,0,Total,1,1,0
2016,early summer,July,Intermediate,3,0,Total,1,1,0
2016,early summer,July,Intermediate,3,0,Total,1,1,0
2016,early summer,July,Intermediate,3,0,Total,1,1,0
2016,early summer,July,Intermediate,3,0,Total,1,1,0
2016,early summer,July,Intermediate,3,0,Total,1,1,0
2016,early summer,July,Intermediate,3,0,Total,1,1,0
2016,early summer,July,Intermediate,3,0,Total,1,0,1
2016,early summer,July,Intermediate,3,0,Total,1,0,1
2016,early summer,July,Intermediate,3,0,Total,1,0,1
2016,early summer,July,Intermediate,3,0,Total,1,0,1
2016,early summer,July,Intermediate,3,0,Total,1,0,1
2016,early summer,July,Intermediate,3,0,Total,1,0,1
