Year,Month,Site,Block,Plot,PlotID,Total_ticks,D_occidentalis,I_pacificus,D_variabilis,Other_unknown,stationID_elevation,stationID_precip,station_elevation,mean_max_F,mean_min_F,diff,rain_year,precip (in),precip (mm),,,,,,,,,
2016,April,Mesic,2,Partial,MP2,1,1,0,0,0,Chuchupate,Bear Valley,1493.5,62.6,32.4,30.2,2015/2016,NA,NA,,,,,,,,,
2016,April,Mesic,2,Open,MO2,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,62.6,32.4,30.2,2015/2016,NA,NA,,,,,,,,,
2016,April,Mesic,3,Total,MT3,1,1,0,0,0,Chuchupate,Bear Valley,1493.5,62.6,32.4,30.2,2015/2016,NA,NA,,,,,,,,,
2016,April,Mesic,3,Partial,MP3,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,62.6,32.4,30.2,2015/2016,NA,NA,,,,,,,,,
2016,April,Mesic,3,Open,MO3,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,62.6,32.4,30.2,2015/2016,NA,NA,,,,,,,,,
2016,April,Arid,2,Open,AO2,1,1,0,0,0,Lebec,Lebec,1089.7,66.3,43.1,23.2,2015/2016,0.57,14.47802896,,,,,,,,,
2016,April,Arid,2,Partial,AP2,1,0,1,0,0,Lebec,Lebec,1089.7,66.3,43.1,23.2,2015/2016,0.57,14.47802896,,,,,,,,,
2016,April,Arid,2,Total,AT2,0,0,0,0,0,Lebec,Lebec,1089.7,66.3,43.1,23.2,2015/2016,0.57,14.47802896,,,,,,,,,
2016,April,Arid,1,Open,AO1,0,0,0,0,0,Lebec,Lebec,1089.7,66.3,43.1,23.2,2015/2016,0.57,14.47802896,,,,,,,,,
2016,April,Arid,1,Partial,AP1,0,0,0,0,0,Lebec,Lebec,1089.7,66.3,43.1,23.2,2015/2016,0.57,14.47802896,,,,,,,,,
2016,April,Arid,1,Total,AT1,1,1,0,0,0,Lebec,Lebec,1089.7,66.3,43.1,23.2,2015/2016,0.57,14.47802896,,,,,,,,,
2016,April,Arid,3,Open,AO3,2,2,0,0,0,Lebec,Lebec,1089.7,66.3,43.1,23.2,2015/2016,0.57,14.47802896,,,,,,,,,
2016,April,Arid,3,Partial,AP3,0,0,0,0,0,Lebec,Lebec,1089.7,66.3,43.1,23.2,2015/2016,0.57,14.47802896,,,,,,,,,
2016,April,Arid,3,Total,AT3,2,1,1,0,0,Lebec,Lebec,1089.7,66.3,43.1,23.2,2015/2016,0.57,14.47802896,,,,,,,,,
2016,May,Mesic,1,Open,MO1,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,67.9,37.5,30.4,2015/2016,0,0,,,,,,,,,
2016,May,Mesic,1,Partial,MP1,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,67.9,37.5,30.4,2015/2016,0,0,,,,,,,,,
2016,May,Mesic,1,Total,MT1,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,67.9,37.5,30.4,2015/2016,0,0,,,,,,,,,
2016,May,Mesic,2,Open,MO2,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,67.9,37.5,30.4,2015/2016,0,0,,,,,,,,,
2016,May,Mesic,2,Partial,MP2,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,67.9,37.5,30.4,2015/2016,0,0,,,,,,,,,
2016,May,Mesic,2,Total,MT2,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,67.9,37.5,30.4,2015/2016,0,0,,,,,,,,,
2016,May,Mesic,3,Open,MO3,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,67.9,37.5,30.4,2015/2016,0,0,,,,,,,,,
2016,May,Mesic,3,Partial,MP3,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,67.9,37.5,30.4,2015/2016,0,0,,,,,,,,,
2016,May,Mesic,3,Total,MT3,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,67.9,37.5,30.4,2015/2016,0,0,,,,,,,,,
2016,May,Intermediate,1,Total,IT1,0,0,0,0,0,Loraine,Loraine,1290.8,70.1,43.3,26.8,2015/2016,0.3,7.62001524,,,,,,,,,
2016,May,Intermediate,2,Open,IO2,0,0,0,0,0,Loraine,Loraine,1290.8,70.1,43.3,26.8,2015/2016,0.3,7.62001524,,,,,,,,,
2016,May,Intermediate,2,Partial,IP2,0,0,0,0,0,Loraine,Loraine,1290.8,70.1,43.3,26.8,2015/2016,0.3,7.62001524,,,,,,,,,
2016,May,Intermediate,2,Total,IT2,0,0,0,0,0,Loraine,Loraine,1290.8,70.1,43.3,26.8,2015/2016,0.3,7.62001524,,,,,,,,,
2016,May,Intermediate,3,Open,IO3,0,0,0,0,0,Loraine,Loraine,1290.8,70.1,43.3,26.8,2015/2016,0.3,7.62001524,,,,,,,,,
2016,May,Intermediate,3,Partial,IP3,0,0,0,0,0,Loraine,Loraine,1290.8,70.1,43.3,26.8,2015/2016,0.3,7.62001524,,,,,,,,,
2016,May,Intermediate,3,Total,IT3,1,1,0,0,0,Loraine,Loraine,1290.8,70.1,43.3,26.8,2015/2016,0.3,7.62001524,,,,,,,,,
2016,May,Intermediate,1,Open,IO1,1,0,1,0,0,Loraine,Loraine,1290.8,70.1,43.3,26.8,2015/2016,0.3,7.62001524,,,,,,,,,
2016,May,Intermediate,1,Partial,IP1,0,0,0,0,0,Loraine,Loraine,1290.8,70.1,43.3,26.8,2015/2016,0.3,7.62001524,,,,,,,,,
2016,May,Arid,1,Open,AO1,0,0,0,0,0,Lebec,Lebec,1089.7,68.9,48.3,20.6,2015/2016,0.72,18.28803658,,,,,,,,,
2016,May,Arid,1,Partial,AP1,0,0,0,0,0,Lebec,Lebec,1089.7,68.9,48.3,20.6,2015/2016,0.72,18.28803658,,,,,,,,,
2016,May,Arid,1,Total,AT1,0,0,0,0,0,Lebec,Lebec,1089.7,68.9,48.3,20.6,2015/2016,0.72,18.28803658,,,,,,,,,
2016,May,Arid,2,Open,AO2,0,0,0,0,0,Lebec,Lebec,1089.7,68.9,48.3,20.6,2015/2016,0.72,18.28803658,,,,,,,,,
2016,May,Arid,2,Partial,AP2,0,0,0,0,0,Lebec,Lebec,1089.7,68.9,48.3,20.6,2015/2016,0.72,18.28803658,,,,,,,,,
2016,May,Arid,2,Total,AT2,0,0,0,0,0,Lebec,Lebec,1089.7,68.9,48.3,20.6,2015/2016,0.72,18.28803658,,,,,,,,,
2016,May,Arid,3,Open,AO3,0,0,0,0,0,Lebec,Lebec,1089.7,68.9,48.3,20.6,2015/2016,0.72,18.28803658,,,,,,,,,
2016,May,Arid,3,Partial,AP3,0,0,0,0,0,Lebec,Lebec,1089.7,68.9,48.3,20.6,2015/2016,0.72,18.28803658,,,,,,,,,
2016,May,Arid,3,Total,AT3,0,0,0,0,0,Lebec,Lebec,1089.7,68.9,48.3,20.6,2015/2016,0.72,18.28803658,,,,,,,,,
2016,June,Mesic,1,Open,MO1,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,85.3,46.2,39.1,2015/2016,0,0,,,,,,,,,
2016,June,Mesic,1,Partial,MP1,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,85.3,46.2,39.1,2015/2016,0,0,,,,,,,,,
2016,June,Mesic,1,Total,MT1,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,85.3,46.2,39.1,2015/2016,0,0,,,,,,,,,
2016,June,Mesic,2,Open,MO2,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,85.3,46.2,39.1,2015/2016,0,0,,,,,,,,,
2016,June,Mesic,2,Partial,MP2,1,1,0,0,0,Chuchupate,Bear Valley,1493.5,85.3,46.2,39.1,2015/2016,0,0,,,,,,,,,
2016,June,Mesic,2,Total,MT2,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,85.3,46.2,39.1,2015/2016,0,0,,,,,,,,,
2016,June,Mesic,3,Open,MO3,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,85.3,46.2,39.1,2015/2016,0,0,,,,,,,,,
2016,June,Mesic,3,Partial,MP3,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,85.3,46.2,39.1,2015/2016,0,0,,,,,,,,,
2016,June,Mesic,3,Total,MT3,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,85.3,46.2,39.1,2015/2016,0,0,,,,,,,,,
2016,June,Intermediate,1,Total,IT1,0,0,0,0,0,Loraine,Loraine,1290.8,86.6,53.6,33,2015/2016,0,0,,,,,,,,,
2016,June,Intermediate,2,Open,IO2,2,2,0,0,0,Loraine,Loraine,1290.8,86.6,53.6,33,2015/2016,0,0,,,,,,,,,
2016,June,Intermediate,2,Partial,IP2,1,1,0,0,0,Loraine,Loraine,1290.8,86.6,53.6,33,2015/2016,0,0,,,,,,,,,
2016,June,Intermediate,2,Total,IT2,1,1,0,0,0,Loraine,Loraine,1290.8,86.6,53.6,33,2015/2016,0,0,,,,,,,,,
2016,June,Intermediate,3,Open,IO3,0,0,0,0,0,Loraine,Loraine,1290.8,86.6,53.6,33,2015/2016,0,0,,,,,,,,,
2016,June,Intermediate,3,Partial,IP3,1,1,0,0,0,Loraine,Loraine,1290.8,86.6,53.6,33,2015/2016,0,0,,,,,,,,,
2016,June,Intermediate,3,Total,IT3,0,0,0,0,0,Loraine,Loraine,1290.8,86.6,53.6,33,2015/2016,0,0,,,,,,,,,
2016,June,Intermediate,1,Open,IO1,1,1,0,0,0,Loraine,Loraine,1290.8,86.6,53.6,33,2015/2016,0,0,,,,,,,,,
2016,June,Intermediate,1,Partial,IP1,2,2,0,0,0,Loraine,Loraine,1290.8,86.6,53.6,33,2015/2016,0,0,,,,,,,,,
2016,June,Arid,1,Open,AO1,0,0,0,0,0,Lebec,Lebec,1089.7,83.9,60.2,23.7,2015/2016,0,0,,,,,,,,,
2016,June,Arid,1,Partial,AP1,0,0,0,0,0,Lebec,Lebec,1089.7,83.9,60.2,23.7,2015/2016,0,0,,,,,,,,,
2016,June,Arid,1,Total,AT1,0,0,0,0,0,Lebec,Lebec,1089.7,83.9,60.2,23.7,2015/2016,0,0,,,,,,,,,
2016,June,Arid,2,Open,AO2,0,0,0,0,0,Lebec,Lebec,1089.7,83.9,60.2,23.7,2015/2016,0,0,,,,,,,,,
2016,June,Arid,2,Partial,AP2,0,0,0,0,0,Lebec,Lebec,1089.7,83.9,60.2,23.7,2015/2016,0,0,,,,,,,,,
2016,June,Arid,2,Total,AT2,0,0,0,0,0,Lebec,Lebec,1089.7,83.9,60.2,23.7,2015/2016,0,0,,,,,,,,,
2016,June,Arid,3,Open,AO3,0,0,0,0,0,Lebec,Lebec,1089.7,83.9,60.2,23.7,2015/2016,0,0,,,,,,,,,
2016,June,Arid,3,Partial,AP3,0,0,0,0,0,Lebec,Lebec,1089.7,83.9,60.2,23.7,2015/2016,0,0,,,,,,,,,
2016,June,Arid,3,Total,AT3,0,0,0,0,0,Lebec,Lebec,1089.7,83.9,60.2,23.7,2015/2016,0,0,,,,,,,,,
2016,July,Mesic,1,Open,MO1,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,89.1,45.5,43.6,2015/2016,0,0,,,,,,,,,
2016,July,Mesic,1,Partial,MP1,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,89.1,45.5,43.6,2015/2016,0,0,,,,,,,,,
2016,July,Mesic,1,Total,MT1,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,89.1,45.5,43.6,2015/2016,0,0,,,,,,,,,
2016,July,Mesic,2,Open,MO2,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,89.1,45.5,43.6,2015/2016,0,0,,,,,,,,,
2016,July,Mesic,2,Partial,MP2,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,89.1,45.5,43.6,2015/2016,0,0,,,,,,,,,
2016,July,Mesic,2,Total,MT2,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,89.1,45.5,43.6,2015/2016,0,0,,,,,,,,,
2016,July,Mesic,3,Open,MO3,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,89.1,45.5,43.6,2015/2016,0,0,,,,,,,,,
2016,July,Mesic,3,Partial,MP3,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,89.1,45.5,43.6,2015/2016,0,0,,,,,,,,,
2016,July,Mesic,3,Total,MT3,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,89.1,45.5,43.6,2015/2016,0,0,,,,,,,,,
2016,July,Intermediate,1,Total,IT1,0,0,0,0,0,Loraine,Loraine,1290.8,89.5,57.5,32,2015/2016,0,0,,,,,,,,,
2016,July,Intermediate,2,Open,IO2,0,0,0,0,0,Loraine,Loraine,1290.8,89.5,57.5,32,2015/2016,0,0,,,,,,,,,
2016,July,Intermediate,2,Partial,IP2,0,0,0,0,0,Loraine,Loraine,1290.8,89.5,57.5,32,2015/2016,0,0,,,,,,,,,
2016,July,Intermediate,2,Total,IT2,0,0,0,0,0,Loraine,Loraine,1290.8,89.5,57.5,32,2015/2016,0,0,,,,,,,,,
2016,July,Intermediate,3,Open,IO3,0,0,0,0,0,Loraine,Loraine,1290.8,89.5,57.5,32,2015/2016,0,0,,,,,,,,,
2016,July,Intermediate,3,Partial,IP3,0,0,0,0,0,Loraine,Loraine,1290.8,89.5,57.5,32,2015/2016,0,0,,,,,,,,,
2016,July,Intermediate,3,Total,IT3,0,0,0,0,0,Loraine,Loraine,1290.8,89.5,57.5,32,2015/2016,0,0,,,,,,,,,
2016,July,Intermediate,1,Open,IO1,0,0,0,0,0,Loraine,Loraine,1290.8,89.5,57.5,32,2015/2016,0,0,,,,,,,,,
2016,July,Intermediate,1,Partial,IP1,0,0,0,0,0,Loraine,Loraine,1290.8,89.5,57.5,32,2015/2016,0,0,,,,,,,,,
2016,July,Arid,1,Open,AO1,0,0,0,0,0,Lebec,Lebec,1089.7,88.8,61.1,27.7,2015/2016,0,0,,,,,,,,,
2016,July,Arid,1,Partial,AP1,0,0,0,0,0,Lebec,Lebec,1089.7,88.8,61.1,27.7,2015/2016,0,0,,,,,,,,,
2016,July,Arid,1,Total,AT1,0,0,0,0,0,Lebec,Lebec,1089.7,88.8,61.1,27.7,2015/2016,0,0,,,,,,,,,
2016,July,Arid,2,Open,AO2,0,0,0,0,0,Lebec,Lebec,1089.7,88.8,61.1,27.7,2015/2016,0,0,,,,,,,,,
2016,July,Arid,2,Partial,AP2,0,0,0,0,0,Lebec,Lebec,1089.7,88.8,61.1,27.7,2015/2016,0,0,,,,,,,,,
2016,July,Arid,2,Total,AT2,0,0,0,0,0,Lebec,Lebec,1089.7,88.8,61.1,27.7,2015/2016,0,0,,,,,,,,,
2016,July,Arid,3,Open,AO3,0,0,0,0,0,Lebec,Lebec,1089.7,88.8,61.1,27.7,2015/2016,0,0,,,,,,,,,
2016,July,Arid,3,Partial,AP3,0,0,0,0,0,Lebec,Lebec,1089.7,88.8,61.1,27.7,2015/2016,0,0,,,,,,,,,
2016,July,Arid,3,Total,AT3,0,0,0,0,0,Lebec,Lebec,1089.7,88.8,61.1,27.7,2015/2016,0,0,,,,,,,,,
2016,August,Mesic,1,Open,MO1,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,87.5,43.3,44.2,2015/2016,0,0,,,,,,,,,
2016,August,Mesic,1,Partial,MP1,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,87.5,43.3,44.2,2015/2016,0,0,,,,,,,,,
2016,August,Mesic,1,Total,MT1,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,87.5,43.3,44.2,2015/2016,0,0,,,,,,,,,
2016,August,Mesic,2,Open,MO2,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,87.5,43.3,44.2,2015/2016,0,0,,,,,,,,,
2016,August,Mesic,2,Partial,MP2,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,87.5,43.3,44.2,2015/2016,0,0,,,,,,,,,
2016,August,Mesic,2,Total,MT2,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,87.5,43.3,44.2,2015/2016,0,0,,,,,,,,,
2016,August,Mesic,3,Open,MO3,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,87.5,43.3,44.2,2015/2016,0,0,,,,,,,,,
2016,August,Mesic,3,Partial,MP3,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,87.5,43.3,44.2,2015/2016,0,0,,,,,,,,,
2016,August,Mesic,3,Total,MT3,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,87.5,43.3,44.2,2015/2016,0,0,,,,,,,,,
2016,August,Intermediate,1,Total,IT1,0,0,0,0,0,Loraine,Loraine,1290.8,90.5,56.4,34.1,2015/2016,0,0,,,,,,,,,
2016,August,Intermediate,2,Open,IO2,0,0,0,0,0,Loraine,Loraine,1290.8,90.5,56.4,34.1,2015/2016,0,0,,,,,,,,,
2016,August,Intermediate,2,Partial,IP2,0,0,0,0,0,Loraine,Loraine,1290.8,90.5,56.4,34.1,2015/2016,0,0,,,,,,,,,
2016,August,Intermediate,2,Total,IT2,0,0,0,0,0,Loraine,Loraine,1290.8,90.5,56.4,34.1,2015/2016,0,0,,,,,,,,,
2016,August,Intermediate,3,Open,IO3,0,0,0,0,0,Loraine,Loraine,1290.8,90.5,56.4,34.1,2015/2016,0,0,,,,,,,,,
2016,August,Intermediate,3,Partial,IP3,0,0,0,0,0,Loraine,Loraine,1290.8,90.5,56.4,34.1,2015/2016,0,0,,,,,,,,,
2016,August,Intermediate,3,Total,IT3,0,0,0,0,0,Loraine,Loraine,1290.8,90.5,56.4,34.1,2015/2016,0,0,,,,,,,,,
2016,August,Intermediate,1,Open,IO1,0,0,0,0,0,Loraine,Loraine,1290.8,90.5,56.4,34.1,2015/2016,0,0,,,,,,,,,
2016,August,Intermediate,1,Partial,IP1,0,0,0,0,0,Loraine,Loraine,1290.8,90.5,56.4,34.1,2015/2016,0,0,,,,,,,,,
2016,August,Arid,1,Open,AO1,0,0,0,0,0,Lebec,Lebec,1089.7,87.9,60.3,27.6,2015/2016,0,0,,,,,,,,,
2016,August,Arid,1,Partial,AP1,0,0,0,0,0,Lebec,Lebec,1089.7,87.9,60.3,27.6,2015/2016,0,0,,,,,,,,,
2016,August,Arid,1,Total,AT1,0,0,0,0,0,Lebec,Lebec,1089.7,87.9,60.3,27.6,2015/2016,0,0,,,,,,,,,
2016,August,Arid,2,Open,AO2,0,0,0,0,0,Lebec,Lebec,1089.7,87.9,60.3,27.6,2015/2016,0,0,,,,,,,,,
2016,August,Arid,2,Partial,AP2,0,0,0,0,0,Lebec,Lebec,1089.7,87.9,60.3,27.6,2015/2016,0,0,,,,,,,,,
2016,August,Arid,2,Total,AT2,0,0,0,0,0,Lebec,Lebec,1089.7,87.9,60.3,27.6,2015/2016,0,0,,,,,,,,,
2016,August,Arid,3,Open,AO3,0,0,0,0,0,Lebec,Lebec,1089.7,87.9,60.3,27.6,2015/2016,0,0,,,,,,,,,
2016,August,Arid,3,Partial,AP3,0,0,0,0,0,Lebec,Lebec,1089.7,87.9,60.3,27.6,2015/2016,0,0,,,,,,,,,
2016,August,Arid,3,Total,AT3,0,0,0,0,0,Lebec,Lebec,1089.7,87.9,60.3,27.6,2015/2016,0,0,,,,,,,,,
2016,September,Mesic,1,Open,MO1,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,78.6,38.1,40.5,2015/2016,0,0,,,,,,,,,
2016,September,Mesic,1,Partial,MP1,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,78.6,38.1,40.5,2015/2016,0,0,,,,,,,,,
2016,September,Mesic,1,Total,MT1,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,78.6,38.1,40.5,2015/2016,0,0,,,,,,,,,
2016,September,Mesic,2,Open,MO2,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,78.6,38.1,40.5,2015/2016,0,0,,,,,,,,,
2016,September,Mesic,2,Partial,MP2,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,78.6,38.1,40.5,2015/2016,0,0,,,,,,,,,
2016,September,Mesic,2,Total,MT2,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,78.6,38.1,40.5,2015/2016,0,0,,,,,,,,,
2016,September,Mesic,3,Open,MO3,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,78.6,38.1,40.5,2015/2016,0,0,,,,,,,,,
2016,September,Mesic,3,Partial,MP3,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,78.6,38.1,40.5,2015/2016,0,0,,,,,,,,,
2016,September,Mesic,3,Total,MT3,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,78.6,38.1,40.5,2015/2016,0,0,,,,,,,,,
2016,September,Intermediate,1,Total,IT1,0,0,0,0,0,Loraine,Loraine,1290.8,81.8,50.5,31.3,2015/2016,0,0,,,,,,,,,
2016,September,Intermediate,2,Open,IO2,0,0,0,0,0,Loraine,Loraine,1290.8,81.8,50.5,31.3,2015/2016,0,0,,,,,,,,,
2016,September,Intermediate,2,Partial,IP2,0,0,0,0,0,Loraine,Loraine,1290.8,81.8,50.5,31.3,2015/2016,0,0,,,,,,,,,
2016,September,Intermediate,2,Total,IT2,0,0,0,0,0,Loraine,Loraine,1290.8,81.8,50.5,31.3,2015/2016,0,0,,,,,,,,,
2016,September,Intermediate,3,Open,IO3,0,0,0,0,0,Loraine,Loraine,1290.8,81.8,50.5,31.3,2015/2016,0,0,,,,,,,,,
2016,September,Intermediate,3,Partial,IP3,0,0,0,0,0,Loraine,Loraine,1290.8,81.8,50.5,31.3,2015/2016,0,0,,,,,,,,,
2016,September,Intermediate,3,Total,IT3,0,0,0,0,0,Loraine,Loraine,1290.8,81.8,50.5,31.3,2015/2016,0,0,,,,,,,,,
2016,September,Intermediate,1,Open,IO1,0,0,0,0,0,Loraine,Loraine,1290.8,81.8,50.5,31.3,2015/2016,0,0,,,,,,,,,
2016,September,Intermediate,1,Partial,IP1,0,0,0,0,0,Loraine,Loraine,1290.8,81.8,50.5,31.3,2015/2016,0,0,,,,,,,,,
2016,September,Arid,1,Open,AO1,0,0,0,0,0,Lebec,Lebec,1089.7,80.4,52.6,27.8,2015/2016,0,0,,,,,,,,,
2016,September,Arid,1,Partial,AP1,0,0,0,0,0,Lebec,Lebec,1089.7,80.4,52.6,27.8,2015/2016,0,0,,,,,,,,,
2016,September,Arid,1,Total,AT1,0,0,0,0,0,Lebec,Lebec,1089.7,80.4,52.6,27.8,2015/2016,0,0,,,,,,,,,
2016,September,Arid,2,Open,AO2,0,0,0,0,0,Lebec,Lebec,1089.7,80.4,52.6,27.8,2015/2016,0,0,,,,,,,,,
2016,September,Arid,2,Partial,AP2,0,0,0,0,0,Lebec,Lebec,1089.7,80.4,52.6,27.8,2015/2016,0,0,,,,,,,,,
2016,September,Arid,2,Total,AT2,0,0,0,0,0,Lebec,Lebec,1089.7,80.4,52.6,27.8,2015/2016,0,0,,,,,,,,,
2016,September,Arid,3,Open,AO3,0,0,0,0,0,Lebec,Lebec,1089.7,80.4,52.6,27.8,2015/2016,0,0,,,,,,,,,
2016,September,Arid,3,Partial,AP3,0,0,0,0,0,Lebec,Lebec,1089.7,80.4,52.6,27.8,2015/2016,0,0,,,,,,,,,
2016,September,Arid,3,Total,AT3,0,0,0,0,0,Lebec,Lebec,1089.7,80.4,52.6,27.8,2015/2016,0,0,,,,,,,,,
2016,October,Mesic,1,Open,MO1,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,69.3,34.2,35.1,2015/2016,0.83,21.08204216,,,,,,,,,
2016,October,Mesic,1,Partial,MP1,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,69.3,34.2,35.1,2015/2016,0.83,21.08204216,,,,,,,,,
2016,October,Mesic,1,Total,MT1,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,69.3,34.2,35.1,2015/2016,0.83,21.08204216,,,,,,,,,
2016,October,Mesic,2,Open,MO2,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,69.3,34.2,35.1,2015/2016,0.83,21.08204216,,,,,,,,,
2016,October,Mesic,2,Partial,MP2,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,69.3,34.2,35.1,2015/2016,0.83,21.08204216,,,,,,,,,
2016,October,Mesic,2,Total,MT2,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,69.3,34.2,35.1,2015/2016,0.83,21.08204216,,,,,,,,,
2016,October,Mesic,3,Open,MO3,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,69.3,34.2,35.1,2015/2016,0.83,21.08204216,,,,,,,,,
2016,October,Mesic,3,Partial,MP3,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,69.3,34.2,35.1,2015/2016,0.83,21.08204216,,,,,,,,,
2016,October,Mesic,3,Total,MT3,0,0,0,0,0,Chuchupate,Bear Valley,1493.5,69.3,34.2,35.1,2015/2016,0.83,21.08204216,,,,,,,,,
2016,October,Intermediate,1,Total,IT1,0,0,0,0,0,Loraine,Loraine,1290.8,71.6,45,26.6,2015/2016,0.48,12.19202438,,,,,,,,,
2016,October,Intermediate,2,Open,IO2,0,0,0,0,0,Loraine,Loraine,1290.8,71.6,45,26.6,2015/2016,0.48,12.19202438,,,,,,,,,
2016,October,Intermediate,2,Partial,IP2,0,0,0,0,0,Loraine,Loraine,1290.8,71.6,45,26.6,2015/2016,0.48,12.19202438,,,,,,,,,
2016,October,Intermediate,2,Total,IT2,0,0,0,0,0,Loraine,Loraine,1290.8,71.6,45,26.6,2015/2016,0.48,12.19202438,,,,,,,,,
